UserName,Handle,Timestamp,Text,Comments,Likes,Retweets
Ran,@sekerolltwit,2024-01-12T23:48:37.000Z,Astaghfirullah hal azim. Banyak2 mengucap. Rupanya marah sbb PMX tolak LGBT.,0,0,0
Rix100,@Rix1001,2024-01-12T23:27:19.000Z,LGBT+ 11% ,0,0,0
yay ¹²,@novvog_gowon,2024-01-12T23:23:08.000Z,Lgbt,0,0,0
Edward,@agnezzmolover,2024-01-12T22:39:51.000Z,Ada pastor nikahin LGBT aja umatnya selow... seselow itu sampe2 byk kerusakan2 di agamanya diem aja,0,0,0
Suraya Aziz,@Suraya4Aziz,2024-01-12T22:38:44.000Z,Laporan HRW secara tidak langsung mengiktiraf PN sebagai pembela LGBT kerana tidak pernah rampas jam Swatch. ,0,0,0
jimot,@jim_out,2024-01-12T22:27:29.000Z,"Bencong jangan dikasih panggung lah....
Lu pikir LGBT itu Hak asasi manusia iya??
Sorry Yee... Sorry Yee... 
Di negara kita LGBT itu bukan bagian dari Hak Asasi Manusia tapi penyakit menular....
Dikasih panggung ya makin banyak mularin orang lah...",0,0,0
bun england,@jinniesbutter,2024-01-12T22:16:26.000Z,lgbt banger artist !,0,0,0
nept,@yogurtnept,2024-01-12T22:15:52.000Z,profilin lgbt bayragina bi/pan kizi koymasi,0,0,0
.,@yourlovelypb,2024-01-12T22:08:46.000Z,Nampilin bencong di tv gini termasuk propaganda lgbt ga yah?,0,0,0
Muhammad Supriyono,@muhsupriyono93,2024-01-12T22:00:36.000Z,"ane ga ada nyebut nama loh ya.. kecuali ane nyebut nama.. ane juga hanya menjelaskan perintah Agama

lagipula memakai atribut atau berpenampilan seperti lawan jenis, tetep termasuk didalam ancaman pengusiran..

berpenampilan saja tetep diusir, apalagi yg fix LGBT",0,0,0
Le Kakakang F Q F,@DKakang79560,2024-01-12T21:40:23.000Z,"Gak Tau di Bali banyak LGBT.

Halah ntar paling dibilang tidak sesuai kebhinekaan padahal dri sejak jaman kerajaan begitu wkwk ",0,0,0
m,@fvnzioniamo,2024-01-12T21:40:01.000Z,carta lgbt: usata,0,0,0
Masdi,@Masdi_jr,2024-01-12T21:33:03.000Z,ni tutup tp halalkan LGBT,0,0,0
En Serol,@en_serol,2024-01-12T20:38:56.000Z,LGBT? Kamu patut bangga PMX tolak LGBT !,0,0,0
Edek z Krainy Kredek,@EZkrainykredek,2024-01-12T20:35:41.000Z,LGBT?,0,0,0
(Crawdaddy ∞),@CrawsPaws,2024-01-12T20:30:14.000Z,Lgbt banger artist,0,0,0
a.,@archerguts,2024-01-12T20:16:14.000Z,lgbt,0,0,0
Frostyme,@Frostymerx,2024-01-12T20:11:50.000Z,Kurvat e lgbt qe jan pagujt nga george sorrosi dhe per propaganden feministe qe te shkaterrojne familjen me axhenden nwo,0,0,0
ɢᴏɴᴢᴀʟᴏ ᴀʟᴠᴇᴀʀ ᴠᴇʀɢᴀʀᴀ,@ShaloAlvear,2024-01-12T20:08:28.000Z,Cata LGBT,0,0,0
Bekzod,@__bt_98__,2024-01-12T20:05:35.000Z,Bepul lgbt darsliklari))),0,0,0
Hasan Atilgan,@Hasanatlgan89,2024-01-12T19:36:48.000Z,LGBT mi olaydik :))),0,0,0
a beamer boy,@jimmieistwink,2024-01-12T19:09:35.000Z,"bangga betul mamat ni dengan maksiat siap statement macam tu apo nyah, for fak sake aku respect kaum perempuan, lgbt and kaum lelaki yang pandai kawal lust. Yes kau takkan lari dari dosa sampai mati tapi apa mamat ni buat gila bab1, semoga dia mati dalam iman je la.",0,0,0
thiago,@0RIKK0,2024-01-12T18:11:56.000Z,cata lgbt icon,0,0,0
