UserName,Handle,Timestamp,Text,Comments,Likes,Retweets
Beliau,@ImanPatuy,2024-02-21T23:56:49.000Z,Ah LGBT ternyata ...,0,0,0
Usman Akasia,@AkasiaUsman,2024-02-21T23:51:26.000Z,Halo teman2 gemana manggil.yg punya akun ini si zy pangkil mbak atau mas dia ni kaum melambai yg takut 01 menang dan pendukung 02 dari rumah samit jiwa  serta kaum LGBT,0,0,0
lgbt doug bowser,@dancommadirty,2024-02-21T23:48:44.000Z,BRUH,0,0,0
Khoiron Ris,@khoironris,2024-02-21T23:36:39.000Z,"Lah taek a? Wong tambah banter kampanye LGBT malah, Barca laknatullah ",0,0,0
Oma Icha /热依扎,@rizahariati,2024-02-21T23:35:21.000Z,"Jaman sekarang itu akan dianggap :
-Mysogynist
- Fat shaming
-Boobies shaming
-Racist to rambut kribo
-Discriminative to : Jawa, batak, betawi
-not inclusibe
-pornografi
-Pro LGBT
-dll tergantung mood 

Tapi bodo amat sy udah tua ini, lucu mah lucu aja. ",0,0,0
Ijah,@ijahrant,2024-02-21T23:10:05.000Z,"HAHAHAHAHA beberapa cowo juga, demen liat lesbi tapi jijik lgbt, di pikiran mereka pasangan lesbi itu bisa diajak 3s karena pekob, padahal mereka demen cowo aja kagak ",0,0,0
Fatahillah Alkatari,@SFajarry,2024-02-21T22:50:09.000Z,minoritasnya itu “LGBT” mbak?,0,0,0
lo,@alchmicl,2024-02-21T22:46:10.000Z,JDKDJDK let's go lgbt !!!!! ahre,0,0,0
GetHelpBozoツ,@Cdjx531,2024-02-21T22:45:47.000Z,LGBT,0,0,0
wid ⊬,@bitterdaylight,2024-02-21T22:33:51.000Z,Lgbt,0,0,0
tama,@aeridusk,2024-02-21T22:23:21.000Z,wkwk kaum lgbt ga terima di komen kontra ,0,0,0
m&m BRAT q voltou a fumar prensado…,@giiiiiiico,2024-02-21T22:11:57.000Z,lgbt**,0,0,0
Mas Bagong,@mhmmdazizz,2024-02-21T22:01:59.000Z,Dari twit diatas bisa diambil kesimpulan bahwa kaum LGBT itu otaknya kena,0,0,0
Subhan Syawie,@subhan_ap1,2024-02-21T21:57:15.000Z,Dr tampangnya spt LGBT ya ,0,0,0
Friesenjung,@Roxgarwz,2024-02-21T21:51:53.000Z,Lgbt o fan del temach?,0,0,0
ysé,@feeducine,2024-02-21T21:49:53.000Z,le Paris lgbt si petit,0,0,0
Novi Hardiansyah,@hardi_omesh,2024-02-21T21:42:44.000Z,LGBT ,0,0,0
Aslan yürekli,@Aslanyrkli28344,2024-02-21T21:38:49.000Z,Lgbt mi bunlar?,0,0,0
lara del rey,@workssng,2024-02-21T21:26:23.000Z,si tan solo hicieran un love is blind lgbt,0,0,0
Krelor Makaria,@KMakaria,2024-02-21T21:20:36.000Z,*LGBT,0,0,0
Ezu,@Ezu1301,2024-02-21T20:58:04.000Z,"Bacoooot,,,giliran LGBT luu diam njink",0,0,0
UONGOZI BORA,@Kibonachristop1,2024-02-21T20:33:25.000Z,"Nyie kenge mtateseka Sana, mnasaka teuzi, wenzenu wanapambana kupata connection nyie mnajikuta watawaona kwa x bahat mbaya wameshawajua kwamba ni ma LGBT Mtasikia tu teuzi sio kwa nyie.",0,0,0
Pejalan kaki,@pejalan_Kaki11,2024-02-21T20:26:50.000Z,"Geng munafik mmg gitu. Waktu memerintah kejar dunia(jawatan dulu), waktu da jatuh, tunggang akhirat.

Tak sedar waktu dia tu judi naik, konsert artis LGBT on je sampai terlupa nk bawa usul RUU355 diparlimen. Bila da habis penggal baru teringat ya?",0,0,0
girlie uberlandense,@nalagliter,2024-02-21T20:10:56.000Z,LGBT,0,0,0
van malas,@ketekratio,2024-02-21T20:09:22.000Z,"mjb maaf tapi kan sendernya bilang dia gasuka sm org yg benci lgbt tp suka bl, bagian mananya yang nyama ratain org kek gitu sama orang yg emg ga dukung lgbt kyk kakak?",0,0,0
Tolga Yücel,@Jrex076,2024-02-21T19:26:36.000Z,Bu lgbt’yi masum yapmaz ki,0,0,0
Mehmet Türkoğlu,@MehmetT49204219,2024-02-21T19:26:15.000Z,Gay bu Halil LGBT’si,0,0,0
almosn,@lttld00msday,2024-02-21T19:17:54.000Z,ralat smoga yg lgbt pd tobat,0,0,0
