UserName,Handle,Timestamp,Text,Comments,Likes,Retweets
Tombul Çocuk,@sevimliKim,2024-02-02T19:41:06.000Z,LGBT= İibneee,0,0,0
sponspop,@typingtwt,2024-02-02T19:33:11.000Z,"sisi lain LGBT ya psikopat, akalnya udah ilang dan lebih mending binatang",0,0,0
kardelen,@kardelenrecber,2024-02-02T19:25:25.000Z,lgbt ne alaka? suc mu lgbt savunmak?,0,0,0
Zula,@chorefantazje,2024-02-02T19:12:05.000Z,jebane lgbt,0,0,0
senow,@iyyoon,2024-02-02T18:57:13.000Z,"Gw ada ponakan masih SMA n dia pernah cerita kalo abg usia sekolah skrg udah telalu bebas perilaku n pergaulannya karena tidak ada pantauan orang tua sama sekali…ngerokok, nongkrong sampe ga pulang2, pacaran klewat batas, malahan lgbt",0,0,0
Erol Akdemir,@erolakdemir,2024-02-02T18:55:04.000Z,LGBT LİLERİNİZ VAR YAAA.,0,0,0
nozima,@wataryuii,2024-02-02T18:53:50.000Z,"Ommmggg 

Vashee, lgbt kuchli ekan",0,0,0
pcx,@pcxcai,2024-02-02T18:45:36.000Z,Lgbt?,0,0,0
fenerliabraham,@fenerliabraham9,2024-02-02T18:34:00.000Z,LGBT li gaylan ve Oe emre,0,0,0
karl marx idiot,@tukangrtweet17,2024-02-02T18:32:35.000Z,Terbukti klo lgbt itu sumber penyakit mengerikan aowkwowkk,0,0,0
Mohd Faiz,@Mohdfaiz13,2024-02-02T17:21:53.000Z,Boooo dah la support LGBT,0,0,0
john Stylish,@johnTopBoy,2024-02-02T17:07:26.000Z,lu knapa LGBT sesama jenis ?,0,0,0
Axel.,@dzghfa,2024-02-02T16:31:25.000Z,"Statement dia gw setuju melarang LGBT, tapi ga harus penggal pala bpk lu jgaaa",0,0,0
بنى احمد,@bani_ahmad18,2024-02-02T16:25:18.000Z,Jirr...ini mah kaum LGBT...hiiiii atut,0,0,0
NUR AMIERA AZWA,@wawa_bartowski,2024-02-02T16:23:04.000Z,"Ni bukan soal xsuka tegur...ni soal kalo awk xmelaksanakan solat ... mcm slalu org ckp isu lgbt... n seumpamanya...bila benda slh dorg nk ckp btl...mcm solat..tu kan kewajipan tp org ckp...ala ""aku xsolat tp aku buat bla bla bla..."" tp dia tahu solat tu wajib..tp dia jdkn pilihan",0,0,0
NUR AMIERA AZWA,@wawa_bartowski,2024-02-02T16:20:14.000Z,Kalo berkaitan dgn amalan agama kita?? Contoh laa org letkkn isu lgbt jd liberal...aurat pun sama...soo if solat??,0,0,0
Z4RK_,@_Androniocrf,2024-02-02T16:11:38.000Z,Lgbt,0,0,0
entaa,@embznt,2024-02-02T15:18:02.000Z,"min 
@kdrama_menfess
 tolong rulesnya ditambahin dong, gaboleh bahas lgbt pliss. makin ga ngotak sumpah pendukung kaum"" ginian, apalagi pelakunya. kalo lo muslim, inget dosanya lebih gede dari zina!",0,0,0
Rio depay,@MuhammadFatihO1,2024-02-02T15:00:59.000Z,Eh para g4y LGBT T4I pada ngumpul,0,0,0
m19895484(SMILEY),@ChaHo75824845,2024-02-02T14:50:43.000Z,"dia admin yang mengurus penjualan,dulu dia selalu mencari salah C,dan tidak mengikuti C di IG,kemudian mereka menjadi sangat dekat,dia seorang LGBT",0,0,0
Kunyit (panggil Arthe),@kuwunyit,2024-02-02T14:48:16.000Z,"Gausah diladenin mah mutualan sama @/Nawhidaa aka Ridho Hafidz, yang ngajak mutualan homophobe sama bikin menfess LGBT dni di babufess dulu.",0,0,0
Need5e,@need5e,2024-02-02T14:39:06.000Z,"Univ of Leeds dan Sheffield terpaksa saya unfolll juga dicoret dari wishlist, karena mendukung LGBT. Huhuhu.

Seleksi lagilah. Mana yang enggak dukung LGBT dan Israel, baru dipilih.",0,0,0
kuncoro on negative sesh / mute me,@chroII0,2024-02-02T14:38:03.000Z,"@mohmahfudmd
 ganti bio nya dl pak",0,0,0
OVA,@jah_ova7,2024-02-02T14:33:32.000Z,LGBT fish,0,0,0
Juliette,@Julieette99,2024-02-02T14:21:41.000Z,"Wkwkwkwk,pelaku LGBT ternyata!!!! Ga heran kalo dukung capres #02, lah satu golongan sama anak semata wayang capresnya!!!! ",0,0,0
NiNG garis tengah,@FayaAtika,2024-02-02T14:20:27.000Z,Aku sukan satu warna... Kalau pelangi itu LGBT... Dimana indahnya ,0,0,0
OKOPAN Warszawiak. ***** was Tusk!,@KRISOKOPAN,2024-02-02T14:07:25.000Z,***** LGBT,0,0,0
aslia?,@ayaslia_,2024-02-02T14:03:11.000Z,"TW: LGBT sm kekerasan. Kl review dari aku pribadi agak terganggu tiap baca nama tokoh utamanya karena emang selalu ditulis Re: selain itu ga ada lagi minusnya si. Alurnya bagus, ceritanya epic, moral storynya dapet, nambah ilmu kriminalogi juga",0,0,0
mendolkrispihhh,@mendolkrispihhh,2024-02-02T13:56:22.000Z,emang org hetero ini sok paling tau dunia LGBT,0,0,0
