UserName,Handle,Timestamp,Text,Comments,Likes,Retweets
dinosaurus,@O18O7,2024-03-03T23:41:18.000Z,Cocok banget vibesnya emang lgbt *loh,0,0,0
Negri seribu Angin,@Angkoe5,2024-03-03T23:34:48.000Z,Si Banci congor nya bejad pantas loe yg mendukung hak LGBT lewat PSI ya,0,0,0
xx2x,@Messde9,2024-03-03T23:02:23.000Z,"sex bebas jadi hal lumrah dan normal, banyak LGBT, banyak orang sok keras.",0,0,0
m.a.n.k.i.n.d,@0x13nnn,2024-03-03T22:44:16.000Z,"LGBT dan rakyat dua entitas yang berbeda, menurut PSI.",0,0,0
LADZ WEI DREI,@notnud02,2024-03-03T22:43:21.000Z,Lu suka kepoin K0NTOL ORANG ANJING OTAK UDANG wkwk statment lu keliatan banget klo pengikut LGBT otaknya kemasukan aer ta1k.,0,0,0
hadri,@rajakayu75,2024-03-03T22:28:41.000Z,Ko nak tegur dia dr segi apa..klu pondan mmg layak d tegur sbb islam melarang..skrg ko nak tegur dia dr segi apa..apa yg dia memalukan malaysia..atau ko ni lgbt tu yg ko marah bila pondan kena tegur..,0,0,0
taz,@Euustass,2024-03-03T22:25:03.000Z,"gila ini ribet bgt anjing, semua hal kaya lgbt dimulai dari video* kaya gini nih. jd selama ini gw like kendall jenner gw selingkuh kahhh?!",0,0,0
cricket/wayne // waynederful day,@thesnowowls,2024-03-03T22:16:44.000Z,LGBT!,0,0,0
ludan,@cxrchitx_1117,2024-03-03T21:39:47.000Z,lgbt*,0,0,0
KurŚuN_KaLeM,@erbakancayazan,2024-03-03T21:34:31.000Z,Lgbt'ni iktirtme .  Xbbxbx,0,0,0
mariusz,@sworowskimario,2024-03-03T21:23:25.000Z,***** lgbt,0,0,0
chiko bonita,@BonitaChik91805,2024-03-03T21:06:35.000Z,selamat jalan pengikut lgbt,0,0,0
janetez𝕏𓂆,@janetez69,2024-03-03T20:59:05.000Z,Karena lu mengakomodir suara LGBT ke senayan.,0,0,0
desgraçada :3,@uailaninha,2024-03-03T20:52:37.000Z,lgbt…………………,0,0,0
victor,@phrsical,2024-03-03T20:12:35.000Z,lgbt,0,0,0
Pele,@Pele71259890,2024-03-03T20:04:49.000Z,Prawa LGBT,0,0,0
ali's,@afifizztony,2024-03-03T19:46:37.000Z,Saya menolak lgbt,0,0,0
Female Michael,@TopsyTop3483,2024-03-03T19:42:34.000Z,LGBT,0,0,0
/Harriet/ハリーエット R. ACAB BLM LGBT+,@OWOmothwoman,2024-03-03T19:11:08.000Z,"""AI"" Art defending cunt.",0,0,0
Jerzy Puczko,@JerzyPuczko,2024-03-03T19:02:56.000Z,LGBT 70+,0,0,0
daniel chancerel,@DChancerel,2024-03-03T19:01:38.000Z,"LGBT , CRIF , Gluxman , BHL …..",0,0,0
