UserName,Handle,Timestamp,Text,Comments,Likes,Retweets
theaw,@THEAWELLLL,2024-04-29T23:37:30.000Z,kek lgbt,0,0,0
Gumgum Gumilar,@GumgumGumilar5,2024-04-29T23:35:27.000Z,"Tapi bukan LGBT juga kali......krn itu mah penyakit jiwa dan bisa disembuhkan, kalau mau....",0,0,0
Duda,@fraga1905,2024-04-29T23:14:34.000Z,clbc lgbt ,0,0,0
KomodoMembalas2,@ratu7indonesia2,2024-04-29T23:00:29.000Z,Bagusnya setiap pelaku pelecehan sexual dan LGBT pedofil diginiin karena biar kagak ada korban lagi,0,0,0
.,@MewMew_2102,2024-04-29T22:44:40.000Z,"Buat report police kat Malaysia  org BODOH je buat sbb ni negara HOMOPHOBIC takde tempat untuk org LGBT, siapa buat report police benda2 ni confirm polis tu gelak kan korang je lagi kelakar kalau yg buat report tu MUSLIM hoii lah TAUBAT LAH KORANG OIII",0,0,0
wicci ✌︎('ω')✌︎,@__ririkyu,2024-04-29T22:29:22.000Z,NANA LGBT,0,0,0
Johan Rio Pamungkas #StandWithPalestine,@JohanRio,2024-04-29T22:25:07.000Z,"Saya jadi simpatisan dan pemilih PKS plus Anies Baswedan dibilang konservatif(+kadrun).

Gua ktika mendukung hak-hak LGBT disebut liberal(+munafik).

Pas menyatakan jamak sholat tanpa sebab khusus dan darurat dituduh sesat(+syiah).  

Melabeli seseorang gampang betul yah, hehehe.",0,0,0
hmm,@silkys0ap,2024-04-29T22:15:41.000Z,"berarti di AS tu org2 lgbt pada ngibarin bendera pelangi, negaranya dah bukan AS lagi ya? berarti dah jadi negara pelangi? gitu?",0,0,0
cercedo repe,@evaners399391,2024-04-29T22:13:31.000Z,Lgbt bukan ham tolol,0,0,0
cercedo repe,@evaners399391,2024-04-29T22:12:10.000Z,lgbt pantes dibunuh,0,0,0
Tom G,@TomG_Bet,2024-04-29T22:03:39.000Z,Lgbt,0,0,0
Epikshiro.,@EpikShiro_,2024-04-29T21:51:58.000Z,LGBT si,0,0,0
Kévain,@Kevain_omg_,2024-04-29T21:10:53.000Z,Lgbt ? ;-;,0,0,0
Önce vatan,@once_vatan34343,2024-04-29T20:51:42.000Z,Liste eksik lgbt liler kisaca . butun teror orgutleri ve marjinal guruplar,0,0,0
Memi,@Memi594,2024-04-29T19:58:23.000Z,Lgbt*****,0,0,0
Sebastian H.,@SebHongledorf,2024-04-29T19:57:07.000Z,LGBT.,0,0,0
Peter Pan,@PaulHug84867164,2024-04-29T18:55:55.000Z,Ha! Ha! An LGBT KEYSTONE COPS Car.,0,0,0
YaHuDa𝄞♪♬♫𓃠,@yaduta1,2024-04-29T18:39:58.000Z,Ellah LGBT limi yani,0,0,0
PİCASSO,@serenty55,2024-04-29T18:36:39.000Z,Sen git lgbt lileri savun pempe donlular,0,0,0
dobrekonto,@qRp0TITm3Lcp8sa,2024-04-29T18:34:15.000Z,Lgbt? Mamy.,0,0,0
ria,@heyykwim,2024-04-29T18:12:59.000Z,"""heteroseksuelim ama hadi lgbt olayim""",0,0,0
francisco storelli,@franciscostore5,2024-04-29T18:10:00.000Z,Pitibul lgbt ,0,0,0
Amir,@Amir2283143163,2024-04-29T18:04:16.000Z,LGBT,0,0,0
Toruk,@Effenormaal1,2024-04-29T17:47:39.000Z, lgbt is sharia law?,0,0,0
Samo Angel,@samojernej,2024-04-29T17:46:13.000Z,LGBT so bili.,0,0,0
crot,@BPelompat91737,2024-04-29T17:41:32.000Z,"Para LGBT,mana siompong,..perlu dilihat ni..jgn negri org lain dikoreksi sampai kelubang lahat.ini di negri spa ini...",0,0,0
john Stylish,@johnTopBoy,2024-04-29T17:38:16.000Z,"LGBT Lesbi, kaum pelangi tolol",0,0,0
rie,@dowoonfisip,2024-04-29T17:25:34.000Z,gksabar bsok lgbt full motor 4 lantai ,0,0,0
,@ngelirikk,2024-04-29T17:04:25.000Z,gimana kalo eti tau udh fb base lgbt friendly...,0,0,0
Dani Putranto,@daniputranto,2024-04-29T16:54:12.000Z,bencong ya?  LGBT lu? najis bgt..,0,0,0
Archbishop of canterbury,@RightReverendRT,2024-04-29T16:40:49.000Z,LGBT & HIV ,0,0,0
biru ᮘᮤᮛᮥ,@ipoprules,2024-04-29T16:36:02.000Z,ada gasih akun update persepakbolaan indo yg ramah lgbt dan perempuan??? aku pgn ikuti akunnyaaa,0,0,0
M a g d a l e n e,@_magnugget,2024-04-29T16:31:45.000Z,"Oh, iya... Pokoknya itu perosotan LGBT.",0,0,0
paula,@thebeatlosee,2024-04-29T16:23:12.000Z,Lgbt kontol,0,0,0
Bapak Kucing,@DanLainLainLagi,2024-04-29T16:22:43.000Z,"Hampir setuju.

Lebih setuju Brazil. Udah banyak pemain pro yang 'dipungut' dari sepakbola jalanan. Ada yang tetep jalur pro, jalur penjara, atau balik ke jalanan lagi.

Kalo Jerman kental sama politik. Terakhir LGBT dibawa ke PD 2022 Qatar.",0,0,0
franca,@clasismohomo,2024-04-29T16:21:31.000Z,Lgbt???????,0,0,0
Anti LGBT,@baryonmodeee,2024-04-29T16:14:54.000Z,Arhan anjing,0,0,0
Anti LGBT,@baryonmodeee,2024-04-29T16:10:11.000Z,Gara gara pejabat pada posting nobar muka nya dia si nih anjing tauan lu pada bawa sial cara menang lu aja pada curang,0,0,0
Rohit 45,@JAFFAR076,2024-04-29T16:09:50.000Z,"Yai kon interview lai raha ha bhai 
LGBT ki head ha I think ",0,0,0
破産,@trulyhatesun,2024-04-29T15:59:25.000Z,Basically lgbt sport damn olahraga yg mendatangkan azab,0,0,0
Teguh_atas NO PORN NO LGBT,@AtasTeguh,2024-04-29T15:51:49.000Z,"Ndek Jogya iku kabeh2 bayar, lan mesti larang. Wisata tempat lain ae, ziarah ndek makam keluarga wae luweh genah.",0,0,0
kie ᯓᡣ𐭩,@mvcolet,2024-04-29T15:47:08.000Z,lgbt,0,0,0
jude bellirham,@irhamkhoironi,2024-04-29T15:46:50.000Z,Thailand LGBT brengsek,0,0,0
碧,@Aoba_3618,2024-04-29T15:17:06.000Z,LGBT！！！！,0,0,0
Nufus Cindrasari,@NCindrasari,2024-04-29T15:16:06.000Z,"Keknya kita hrs edukasi anak sekolah ttg bahaya LGBT,jg edukasi agar anak2 melakukan penolakan kl ada orang yg menyentuh/meraba anggota tubuhnya,bahkan mrk hrs diajarkan utk melaporkannya. Bener gak dok? Khawatir banget",0,0,0
Textrovert,@OdiljonObidov8,2024-04-29T15:15:17.000Z,Faktlarga koʻra animeni lgbt lar koʻrarkan?,0,0,0
a(r/u)tistic bitch,@dandeviant,2024-04-29T15:11:09.000Z,ni family mahathir punya result. Budak tu 20 tahun skrg. Budak lgbt.,0,0,0
Crow,@garisLunak19,2024-04-29T15:04:59.000Z,"Demokrasi yg katanya jamin kebebasan cuma pepesan kosong tai kucing
Meeka cm membebaskan lgbt dan sejenisnya",0,0,0
ceje,@cjeevanja,2024-04-29T15:01:27.000Z,EH ELU MENDING DIEM YA RHEYNAgausah bersekutu sama radeva nanti ketularan lgbt,0,0,0
✿ೃ 𝙣𝙖𝙪𝙧𝙖. ✧⁠,@sun_flow66,2024-04-29T15:01:04.000Z,"dari sd sampe smk kls 1 tu suka bgt chelsea, trs chelsea pro lgbt jd mles. trs ada pildun skrg timnas, nah gua tu ksel bgt ky knp hrus suka sdngkan gpunya temen buat nonton nya_-",0,0,0
Sticky,@Toni_lovehe4ls,2024-04-29T15:00:24.000Z,"Belum lagi yg nikah tapi ketauan gay, teenagers yg cuma bisa melihat gayness as ewita doang. Itu gak bisa melulu orang LGBT yg tanggung jawab, again, Homophobia is a boomerang, yg dirugikan semua pihak, kebencian tanpa sebab itu mental ilness",0,0,0
Bogdan KOPYTO,@BKopyto,2024-04-29T14:51:53.000Z,LGBT?,0,0,0
,@bumblingbum,2024-04-29T14:43:25.000Z,"I delete thread tu sebab orang kata i racist la, k word la, lgbt la. Mende laa. Kesian je queer indians kena fitnah. Kita benci pedo dan pencabul yang berselindung di sebalik agama",0,0,0
,@bangchanwibu,2024-04-29T14:35:17.000Z,anjing ngakak bgt gedung fpbs sm fpsd retak gara gara gempa katanya karena 2 fakultas itu sarang lgbt ,0,0,0
Ndeye,@__ndeye_,2024-04-29T14:34:29.000Z,Li dou lgbt pour ngen kham ko ay hippie lagn.,0,0,0
mooi ♡ rafayel (deepspace),@_bucolicc,2024-04-29T14:32:35.000Z,makanya stay safe  t-tapi aku diserangnya perkara nolak LGBT  gimana tuh?? aku ga salah padahal wkwk,0,0,0
socialbutterfly,@kelulistarlight,2024-04-29T14:29:49.000Z,baru x ini nonton series easy tapi plot twist. bisa yg tadinya straight jd lgbt wkwk,0,0,0
LYNX,@phighterkisser,2024-04-29T14:19:14.000Z,lgbt,0,0,0
Rozands Peter,@rozands44714,2024-04-29T14:08:24.000Z,LGBT,0,0,0
kiaa,@ppawkinnie,2024-04-29T14:08:00.000Z,BENER ORH KAYA GITU TUH PASTI SIFATNYA SAMA KAYA GINI SUMPAHHH aneh bgt sm org yg nonton bl tapi dia sendiri takut sm lgbt pdhl jelas jelas tontonan dia bagian dr lgbt hhh,0,0,0
The EQUALISER,@Goran0876639632,2024-04-29T13:32:42.000Z,Lgbt bisex balkanski,0,0,0
Jo,@josumett,2024-04-29T13:30:19.000Z,"Gaadaaaa wkwkwkw sampe sekarang aman aman aja, dia gapernah bahas apapun ttg yg dia liat di hp ku:"" tp dia jadi sering bilang kalo lgbt tuh gaboleh",0,0,0
Jo,@josumett,2024-04-29T13:29:18.000Z,"Nggaaaa, cuma dia jadi lumayan sering mention kalo lgbt tuh dosa",0,0,0
Dy,@dykartikas,2024-04-29T13:26:55.000Z,"Ih bener bgt asli, kalau kebanyakan lgbt skip dl dah awas aja kalau ga sama minho",0,0,0
Dawc,@octobrdad,2024-04-29T13:23:42.000Z,salah 2 yg lutpi soeka,0,0,0
,@SatuSehaat,2024-04-29T13:19:30.000Z,Kok rambutnya LGBT gitu.,0,0,0
Jo,@josumett,2024-04-29T13:19:17.000Z,"Papa: tadi di kampus ada pasangan cowo sama cowo diciduk lagi pangku pangkuan 
Mama: ih serem ya LGBT ini udah masuk ke kampus kampus

Aku yang duduk di sebelah mereka [repeat scene emibonnie ciuman]",0,0,0
Yasin,@Yasin726971,2024-04-29T12:59:01.000Z,"Ermeni 
Yahudi 
Rum 
LGBT 
Veeeeeeer
HAİNNNNNNNNN",0,0,0
369CCCLXIX,@369CCCLXIX,2024-04-29T12:57:39.000Z,LGBT,0,0,0
nothing,@skbalecos,2024-04-29T12:31:43.000Z,"Di kiranya yg poz itu cuma lgbt aja, ibu rumah tangga apa kabar, bnyak yg tertular dari suami yg suka jajan sembarang, HIV itu bukan cuma penyakit untuk kaum LGBT, hetero aja bnyak yg kena, gak mau cek gimana mau tau lu poz apa kaga, di kiranya ARV sama kaya permen",0,0,0
mencoba menggapai Sùŕģà MU di sisa usia,@Broer68355792,2024-04-29T12:11:56.000Z,Ga ada tempat buat  atheis apalagi lgbtplg jadi bara di neraka,0,0,0
dummy ᵘⁿᵍᵘᵃʳᵈᵉᵈ ˡᵒˡˡᶦᵖᵒᵖ,@hyozyozone,2024-04-29T12:09:24.000Z,si oli london ni lgbt murtad ke apa tak mengaku komuniti sendiri lmao,0,0,0
愚父ぃ　さま,@Bang_guffy,2024-04-29T11:56:32.000Z,"Di Indonesia ini isue woke yang diangkat kebanyakan ya feminisme doang, coba kalo ada LGBT, apa ga diboikot kaya kucumbu tubuh indahku",0,0,0
Kir,@plattically,2024-04-29T11:53:24.000Z,"protection visa mirip mirip PR benefitsnya tapi lu gak bisa keluar dari aussie

bahkan sampe fabricate stories 1-2 tahun lalu kalau dia lgbt bahkan pergi ke therapist pura pura cerita soal lgbt ",0,0,0
Kir,@plattically,2024-04-29T11:53:23.000Z,"lagi rame di sydney soal protection visa, banyak pelajar/pekerja imigran asia ngaku lgbt dan kalau balik bakal membahayakan

gw sih jujur fine aja tapi banyak yang hypocrite sebenernya homophobic tapi memanfaatkan kaum marjinal yang dia diskriminasi demi kepentingan pribadi? ew",0,0,0
Lucu Terus,@Agungyuniarta,2024-04-29T11:52:25.000Z,Lgbt nu bang,0,0,0
