UserName,Handle,Timestamp,Text,Comments,Likes,Retweets
,@bongguo3o,2024-06-22T18:05:43.000Z,"agama mana? gw pernah dapet lecture hindu di kampus, mereka gak ada larangan untuk lgbt. enakny bawa agama when it’s convenient for you",0,0,0
Sev,@ritsuibara,2024-06-22T18:02:37.000Z,"hmm, akhirnya mutusin untuk bub oomf karena tadi retweet hal keagamaan yg menyinggung lgbt (kinda homophobic) padahal dia retweet fanart jomok :D",0,0,0
Rifki R V,@mrifkyrv,2024-06-22T17:55:11.000Z,Harusnya lgbt gitu? Wkwk atau pukul2an gakpapa?  iq rendah bgtt,0,0,0
Wayu,@Wayu65845933753,2024-06-22T17:50:49.000Z,banyak kok sebenernya perusahaan yang dukung lgbt. Kalian coba liat linkedin. banyak perusahaan yang pak foto profil dengan bendera lgbt,0,0,0
Ron,@Ronaldchristy,2024-06-22T17:50:40.000Z,"Ngapain buka di Indonesia. Dukung LGBT dan Israel, tiap saat didemo, disuruh tutup. Cina ajah sampe skrg disuruh angkat kaki, apalagi pendukung Israel dan LGBT.",0,0,0
Matheus,@Teixeir4_Rk,2024-06-22T17:48:03.000Z,Pika LGBT ,0,0,0
vin,@lmaobgtbang,2024-06-22T17:46:27.000Z,"tolol bat dah, lgbt gabakal bisa nular begoo kecuali lu emang iman nya kaga setronk, kalo denial bilang bang ",0,0,0
jitendr Singh,@HeyJitendr,2024-06-22T17:43:55.000Z,Par bhai Ranbir Toh LGBT wala hai na,0,0,0
Hardhiansyah,@hardhian308,2024-06-22T17:38:23.000Z,Ummat/Jemaat agama mana skrg yg lebih pro LGBT kalo boleh tanya yg basisnya di EROPA itu agama apa?,0,0,0
Pradsssss,@Prad_Codes,2024-06-22T17:32:14.000Z,lgbt vaalo se darte ho kya ,0,0,0
𝓡𝓮𝓺𝓾𝓲𝓮𝓶,@marlooooooon_,2024-06-22T17:23:43.000Z,LGBT,0,0,0
yawnzzn,@chnxybg0,2024-06-22T17:21:19.000Z,"gue baca bl jg tp ngeliat kek gituan jg idih amit amit dah yak, klo emg lu lgbt yaudah jirrr gausa ngumbar pke ngibarin bendera juga cokk, kocak btul pke ngasih liat hak kaum minoritas jir emg lgbt diakuin di indo? kn kagak anj",0,0,0
rum,@everyonewonuu,2024-06-22T17:17:56.000Z,Svt tuh beneran emg sesayang itu antar sesama gue gk abis pikir kenapa ada yang mikir svt klo nunjukin pelukan bercanda ciuman gtu langsung berpikiran lgbt dahal itu emg cara nunjukin sayang mereka ini kalo dikls gue tuh ada yang namanya circle2an dah tpi svt tuh gk ada ,0,0,0
vio,@bejirbang,2024-06-22T17:17:48.000Z,"iya kak, kan aku di awal juga bilang WIBU YG BEGITU ??????? aku gada bawa bawa kamu kalo km emang merasa gak salah atau ga ada hubungannya sm tweet aku trs knp km sangat ngotot dari awal, pdhl disitu aku ngetweet tentang wibu yang suka hal berbau lgbt tapi homophobic irl",0,0,0
ゆう 生涯ツウィペン,@tzuyupen06_14,2024-06-22T17:17:42.000Z,LGBT,0,0,0
Ron,@Ronaldchristy,2024-06-22T17:16:17.000Z,"Koq ke MIT? Negara kafir, penerima LGBT dan Israel. Kenapa ngak sekolah ke arab ajah, atau universitas palestina. Dijamin tetap suci. Klo ke negara kafir nnti jdi berdosa.",0,0,0
vin,@csprods_,2024-06-22T17:15:54.000Z,Soalnya kan LGBT banyak di dalam jejepangan. Harusnya wibu2 ini sadar tapi malah sok2 jadi homophobic,0,0,0
sweetliezss,@kara44_,2024-06-22T17:12:08.000Z,"yang gila bukan si tantenya doang si, temen sendernya juga gila, dan sendernya juga gila org kek gitu masih diajak temenan wkwk. lgbt tuh pantesnya dijauhin, dikucilin.",0,0,0
Filipe Oliveira,@filoli27,2024-06-22T17:02:13.000Z,e a LGBT e BLM???,0,0,0
Meng ༊·˚,@sarjanayaoi,2024-06-22T17:00:48.000Z,"Kan ada ya org dmen ngeship bxb tapi ga suka/jijik liat org LGBT beneran, ya itu namanya gay fetishizer, ga queer friendly karena ya emang homophobic",0,0,0
Pii,@piiyychan,2024-06-22T16:59:30.000Z,"Template kaum lgbt mencari pembelaan ""dikira lgbt pilihan?""",0,0,0
saadah,@nrsxdh,2024-06-22T16:59:17.000Z,mende la netflix sekarang top 3 semua lgbt bapak jijiknya,0,0,0
Yomal,@MrFreez46,2024-06-22T16:57:38.000Z,Lgbt is pedophilia,0,0,0
ava,@lovedstarlight,2024-06-22T16:54:58.000Z,lgbt,0,0,0
Rσɯԃყ Rσƈƙҽɾ,@Its_Rocker_,2024-06-22T16:54:50.000Z,LGBT bharad,0,0,0
thenotoriousBFAO,@pietro_bf,2024-06-22T16:54:08.000Z,lgbt,0,0,0
a.emir,@a_061970,2024-06-22T16:53:22.000Z,Ben kadin degilim diyor lgbt ci cokmu istion lgbt ciyi,0,0,0
Russell Reynolds,@RussellLrascal,2024-06-22T16:49:38.000Z,LGBT! SATAN!,0,0,0
0_0,@milyarderkurt,2024-06-22T16:48:20.000Z,Hatirladim lgbt falan ne b*ksa,0,0,0
arim ♡,@reqistracy,2024-06-22T16:47:32.000Z,"lu tau ga sih apa yg makin gua suka sama dia.. soft-spoken banget, paham English meme, cat lovers, dan dia ga judgemental. dia pernah up story, bilang jangan hakimi org yg LGBT bisa jadi dia mau berubah  i love him more since then, dia bener2 ramah ke semua kalangan :(",0,0,0
vio,@bejirbang,2024-06-22T16:39:27.000Z,jd disini apakah sbnrnya km salah satu? suka nonton anime pedo dan bokep yuri tp benci lgbt ,0,0,0
Weird Psycho,@sow_wierd_mills,2024-06-22T16:38:28.000Z,"accha tab to use bhi nikalo
brahmino ko kyun rakhna hai team me
bring sc st lgbt quota",0,0,0
Litenad,@ali_printed,2024-06-22T16:37:32.000Z,Samsung literally ngebuat pride month panel buat mengedukasi soal gender dan lgbt,0,0,0
bluehyu,@lostwithlast,2024-06-22T16:33:04.000Z,"saya sejujurnya males liat Taehoon x Hoobin atau Yeonwoo, karena gak suka lgbt. saking banyaknya ship mereka jadi males buka pinterest, soalnya tiap nyari salah satu nama dari ketiga itu pasti ship lagi. gumoh lama-lama",0,0,0
michiru,@ryujincjr,2024-06-22T16:31:55.000Z,gk nyangka gw berada di tahap membaca jurnal lgbt sbg referensi gw,0,0,0
natsu,@oaceana,2024-06-22T16:27:59.000Z,double standard ya? soalnya bagi mereka yang penting tuh ga termasuk dalam bagian dari lgbt jadi ya fine fine aja,0,0,0
Rio Johan,@riojohan,2024-06-22T16:26:39.000Z,"Dan bisa dilihat, di banyak negara yang bisa memisahkan agama dari kehidupan sosial dan politik, penerimaan terhadap LGBT jauh lebih gampang. Bukan berarti itu satu-satunya kunci, tapi seeggaknya satu pintu utama dan beratnya sudah kebuka, tinggal buka pintu-pintu yang lain.",0,0,0
