UserName,Handle,Timestamp,Text,Comments,Likes,Retweets
izky,@rizkysy_,2024-05-23T23:56:03.000Z,Ya daripada jadi lgbt wkwkwk,0,0,0
Yoichine,@Yoichinekhun,2024-05-23T23:52:24.000Z,Kaka lgbt nyo yan. Haha,0,0,0
istri sah Johnny Kun,@echantukubakso,2024-05-23T23:50:05.000Z,"Aku ada kenalan di tempat kerja yg lama, ada kok nder, dia lgbt tapi sholat, ada jg yg rajin ibadah tiap minggu ke gereja",0,0,0
KWIHSOE,@KWIHSOE,2024-05-23T23:21:27.000Z,"Penyakit bohong itu mungkin  sdh menular kemana mana, dari Pejabat sangat tinggi, Pejabat tinggi s/d ke LGBT. ",0,0,0
sousin𓇼,@sanjinalgon,2024-05-23T23:02:00.000Z,Lgbt,0,0,0
Laurence Harrison,@guitarlaurence,2024-05-23T22:52:27.000Z,LGBT dinosaw,0,0,0
kozze,@AAbgary63143,2024-05-23T22:29:16.000Z,"Dasar laknatullah.....
 hanya atheis LGBT yg bisa berasumsi seperti ini",0,0,0
ayaa,@ayaajpg,2024-05-23T22:22:55.000Z,"Knp deh twt yg ‘apa opini km yg buat km berada diposisi ini (diserang)’ pasti ada ajeee yg nyinggung lgbt‍
Lucu aja gt apa harus bawa lgbt biar rame? Pdhl banyak opini lain dan opini yg bawa/hate lgbt dah rame pasti bnyk juga yg setuju napa mesti dibawa bawa lagi",0,0,0
Stats Go Crazy,@stats_go_crazy,2024-05-23T22:09:28.000Z,"Some countries with anti-LGBT law:

Brunei
Burundi
Chechnya (Russia)
Iran
Mauritania
Nigeria (certain states)
Saudi Arabia
Somalia
Sudan
Uganda
United Arab Emirates (certain emirates)
Yemen",0,0,0
jawan,@D1RTYH4NSS,2024-05-23T22:01:01.000Z,lgbt,0,0,0
cefixime200mg,@toll_cap,2024-05-23T21:58:48.000Z,"Lgbt, B-nya itu bi, artinya dua... Drsitu aja udah bisa mngerti klo gender itu cuma 2. Cuma kalian2 aja yg bikin variasi",0,0,0
Roberta Nair Rodrigues Pereira,@nair_roberta,2024-05-23T21:11:23.000Z,Angelo is Lgbt ???,0,0,0
P!tr,@Ptr27016417,2024-05-23T20:56:21.000Z,Lgbt!,0,0,0
"interrogatio, علامة سؤال, 疑问,enquéson,опрос, quest",@NOSAV92,2024-05-23T20:44:37.000Z,LGBT ,0,0,0
Robotniczy_Sportowy,@leon_krawc29621,2024-05-23T20:42:51.000Z,Lgbt,0,0,0
rib DW SPOILERS,@lgbt_qt,2024-05-23T20:31:28.000Z,BAHAHA,0,0,0
Simon Maene,@maene_simon,2024-05-23T20:22:01.000Z,LGBT,0,0,0
Debra Ayoola,@debraayoola,2024-05-23T20:18:43.000Z,LGBT,0,0,0
din,@88plus12,2024-05-23T20:03:53.000Z,Mute kata lgbt / benderanya bukan karena anti cuma org2 yg pake kata itu di tweet tuh yg muncul homophobic dan sotoy.,0,0,0
Mileyyy,@LimonluCayy00,2024-05-23T19:59:05.000Z,LGBT savunanlar,0,0,0
Nemeaeus,@Reliique,2024-05-23T19:49:34.000Z,Lgbt,0,0,0
oluchinaAntony,@Oluchina_Antony,2024-05-23T19:42:40.000Z,LGBT,0,0,0
Affan Fals,@interisti2001,2024-05-23T19:41:46.000Z,"Patriarki udah dari zaman dulu.. tapi dulu gak masalah.
Yg jelas berpengaruh itu ya ideologi woke: LGBT didukung yg jelas gak akan menghasilkan keturunan, wanita didorong untuk bekerja mengejar harta, gerakan tolak menikah dan tolak punya anak, dll",0,0,0
LISANDRO LVS ENCANDECIDA,@llisandrogr,2024-05-23T19:40:40.000Z,LGBT,0,0,0
"mij, jouw, en twee grote luls.",@_Prometheo,2024-05-23T19:36:54.000Z,"Gaada yang nyuruh ngebela LGBT kok. Yang saya permasalahkan kan informasi yang diberikan tidak benar. Pun kalo informasi terkait nazi, tapi kalau informasinya salah, akan saya komentarin mati2an untuk bilang bahwa informasinya salah.",0,0,0
Abhinav B,@abhi_050185,2024-05-23T19:31:40.000Z,"DEI, LGBT jhaanki hai, US ki tarah Palestinian agenda abhi baaki hai",0,0,0
Dewi,@dewinoona_,2024-05-23T19:09:02.000Z,"Bolu lgbt, kue pie buah, lontong, risol",0,0,0
lucastripodi,@lucastripodi94,2024-05-23T19:08:13.000Z,LGBT ,0,0,0
︎ ︎ ︎︎ ︎ ︎︎ ︎ ︎ ︎ ︎︎ ︎ ︎︎ ︎,@falsemagusx,2024-05-23T18:52:56.000Z,lgbt dni,0,0,0
ZimanPargad,@ZimanPargad2,2024-05-23T18:42:42.000Z,"spal spil spal spil.
sok2 mau adu indo sama malay.
kena serok nangis bombay kau bikin video klarifikasi
""maafkan saya, itu smua hanya konten, tidak maksud menghina bla bla bla..""
sebut konoha kek banci. kau sebut nama negaranya njeng, gaya kau dahmacam lgbt kutengok",0,0,0
cyraa suka cireng,@cyraaaell0,2024-05-23T18:41:27.000Z,"imo bukan di normalisasi juga, ga jarang aku liat konten muslim pacaran tapi komennya pada negur kok, mungkin mereka ga sekoar' itu krna kalo pacaran ya azabnya kena masing' tapi kalau lgbt yang kena azab nya itu satu daerah (?), pokoknya itulah bahasanya",0,0,0
Lpz99,@Waznagi99,2024-05-23T18:27:50.000Z, LGBT pro max vs   Nazis,0,0,0
Chikzt,@Chikzt,2024-05-23T18:15:09.000Z,bedanya apaan? HTS apa nikah apa menghilangkan status LGBT? modal kopar kapir doang tp gak bs bantah tuh 2 tautan di atas ,0,0,0
El'afasy Kadek,@fasdek5204,2024-05-23T18:12:17.000Z,Org pake cadar elu ribut.... Trus tiba2 buka hijab ribut lagi.... Dasar LGBT taik lu.,0,0,0
Adam to Atom,@n10smash_baba,2024-05-23T18:11:51.000Z,Lkn lgbt ka quota ho tu woh alag baat hai..,0,0,0
suhsweet,@Redbhvr,2024-05-23T18:06:10.000Z,kue lgbt pokony,0,0,0
Babin,@bleblebleblewah,2024-05-23T17:50:52.000Z,"—dijadikan dasar untuk melegalkan LGBT di Indo. Kenapa? Ya karna ajaran Mesir Kuni itu gak termasuk sebagai ajaran yg diakui di Indo.
Pun, walau Indo gak punya aturan yg secara tegas melarang praktik homoseksual (misal ketauan homo bakal dipenjara dsb dsb) dalam UU Perkawinan,—",0,0,0
Babin,@bleblebleblewah,2024-05-23T17:49:30.000Z,"—Adegan ini diklaim sebagai bukti bahwa homoseksualitas itu eksis dari zaman dulu (bukan sesuatu yg dipaksa untuk diada adakan). Siapa yg mengklaim? Tentu saja penggiat LGBT (utamanya di Amerika). Tapi, kalau dibatasi konteksnya jd di Indonesia, kepercayaan ini samsek gak bisa—",0,0,0
Djamel EDJA,@EdjaDjamel,2024-05-23T17:47:09.000Z,LGBT,0,0,0
liik liik,@Fikfinicky990,2024-05-23T17:44:59.000Z,"Yg lgbt kan masih sholat, masih baik ke semua org, gk semua tentang segs yaa",0,0,0
Babin,@bleblebleblewah,2024-05-23T17:43:43.000Z,"—kelamin kabur di Indonesia. Maksudnya tuh kayak perempuan yg berhak melakukan pekerjaan laki laki dan sebaliknya. (Konsep kayak gmn diklaim oleh gerakan LGBT sebagai bagian dari mereka, btw. Jd LGBT itu gak cuma homoseks, bahkan interseks pun dianggap termasuk dalam term LGBT).—",0,0,0
