UserName,Handle,Timestamp,Text,Comments,Likes,Retweets
riyu,@itsmejune_,2024-08-18T02:57:19.000Z,Lgbt itu dia nder ,0,0,0
iruni,@il_0410,2024-08-18T02:57:07.000Z,"Warning: 
1. Cerita mengandung LGBT, BxB. 
2. Tentang Markhyuck 
3. Please ignore all mistakes (timestamps, typo) 
4. Cerita murni karangan",0,0,0
like a vanishing star ✧,@kayyubasah,2024-08-18T02:56:38.000Z,Kalo benar please banyakin lgbt di IKN ,0,0,0
goodboy_bermasker,@aganobito1,2024-08-18T02:48:28.000Z,Ya kalo mau aman lagi kita harus menerapkan syariat Islam dalam kehidupan sehari-hari and membasmi kemaksiatan terutama LGBT nya because perbuatan mereka bisa buat bumi berguncang and gunung2 meletus.. saya lupa ayat berapa tu ada didalam Al-Qur'an..,0,0,0
sei k/ia,@soriesori,2024-08-18T02:39:09.000Z,Gila men gwe lgbt banget  (lagibete),0,0,0
zanya,@homemadepeanut,2024-08-18T02:36:52.000Z,Hah? Sejak kapan monkeypox cuman bisa nular orang yg lgbt? Sumber kredibelnya apa??,0,0,0
helmtempur,@ArtificialWord,2024-08-18T02:26:59.000Z,"Anaknya itu sering  melakukan satire dan byk yg gk sadar, 

Gue curiga ada pesan terselubung  masalah lgbt.

Jarang bgt pihak istana flop masalah fashion, muahal bos.

Semoga netingan gue aja.",0,0,0
D'smaza,@Dinsamaza,2024-08-18T02:26:49.000Z,"Jangankan beristri dekat perempuanpun dia tidak mau, wajar bila orang beranggapan dia LGBT dan penyuka sesama jenis.
CC @OmHombreng",0,0,0
veritas-v-liberabit,@fortisfortuna_9,2024-08-18T02:21:13.000Z,"ya elah koq Sodomi LGBT dicambuk? rajam dong. 

ini gimana sih",0,0,0
Andrew.,@clardirty,2024-08-18T02:06:03.000Z,"Cocok, jadi kutang mermaurd LGBT",0,0,0
About_ftp,@about_ftp,2024-08-18T02:05:58.000Z,"Hadeh klo mau bikin kbbi sendiri gk usah ngajak ngajak lah
Lu mau mendefenisikan takut begitu ya terserah
Logika gitu ntar dipake menafsirkan Al quran dan hadist bisa bisa lgbt jadi halal",0,0,0
๑`sipa ! h-69,@akumawkayang,2024-08-18T01:54:12.000Z,"kamad at 5 nyeritain gajadi beli baju krn ada simbol/motif pelangi: ""skrg lgbt ada simbol2nya ya jauh2i blablabla""

school radio at 9: DOUBLE CHAPPELL ROAN ATTACK ",0,0,0
SantuySaja,@SantuySaja89,2024-08-18T01:54:04.000Z,"Apakah ini tanda LGBT di Indonesia makin nyata ?
Tessy perankan cewek saja langsung dilarang KPU. Padahal cuma guyonan. La sekelas Wapres terpilih, gunakan Outfit cewek, Mala dipuji.",0,0,0
| Riri,@chihiroxytocin,2024-08-18T01:42:36.000Z,LGBT,0,0,0
Abigale Rosewood,@AbigaleRos,2024-08-18T01:34:35.000Z,"Dia anti lgbt, cuman dia misinformation, tp yaa gitu, udah galak duluan, ngiranya beneran trans",0,0,0
Hardy–Weinberg,@lucentbeam12,2024-08-18T01:27:32.000Z,"Tapi ga cuma penjilat pemerintah yg bilang gitu. Kmrn aja ada oposisi leftist (yg bahkan ally to LGBT) tapi bilang solusi impor dokter asing itu masuk akal. Heran aku ini orang2 cuma pada ga suka sama dokter Indoesia doang keknya, sebenernya ga peduli sm isu utamanya",0,0,0
˚｡⋆,@rubbjies,2024-08-18T01:20:33.000Z,mana ayam goreng LGBT lagi ,0,0,0
Vine Wine,@66wine,2024-08-18T01:11:47.000Z,"Minang, gudang LGBT, gitu koq bangga ..",0,0,0
Ali Oncom,@presideninsyaf,2024-08-18T01:09:35.000Z,"Kaumnya anak si wowo nih, jadi LGBT  #diditprabowo",0,0,0
fuck isreal,@Mohdsyafik1579,2024-08-18T01:07:08.000Z,Ohhh bapak kau gay baru tahu. kira bapak kau dak dak LGBT kan .acah acah  baik kunuk Pala but oh mak kau pun jual puki dkat bandar,0,0,0
Rara,@madeforyyyou,2024-08-18T01:00:44.000Z,Ngakakkk woy  Kayaknya rata2 lgbt tuh kalo kuliah selalu ambil jurusan yg ada di FIB ,0,0,0
RSmolyne,@RSmolyne,2024-08-18T00:59:57.000Z,lgbt,0,0,0
ᵇᵘᵏᵃⁿ ᵏᵘᵐᵃ,@manofooth,2024-08-18T00:43:14.000Z,Haduuuu drama lgbt apalagi ini? ,0,0,0
Just for fun,@CeritanyaForFun,2024-08-18T00:42:40.000Z,promo LGBT kah???? g mungkin sekelas wapres ga tau baju gender perempuan!!!!! kecuali kalau dia memang bo..,0,0,0
🄲🄸🅈🅄🅂,@tuti_embeeeeer,2024-08-18T00:40:50.000Z,"Propaganda LGBT terselubung ... 
Dia sadar tapi tak bisa menolak.",0,0,0
for hatred,@varhatth,2024-08-18T00:39:09.000Z,"ga cuma lgbt, tapi setuju",0,0,0
ASmund,@ArtemTyshkovets,2024-08-17T23:08:45.000Z,2 LGBT,0,0,0
auliya,@a0llieya,2024-08-17T22:47:27.000Z,LGBT tuh G nya Gibran. slayyy ,0,0,0
Musah Sheriff,@MusahSheri22786,2024-08-17T22:41:32.000Z,LGBT is band in Saudi Arabia,0,0,0
