UserName,Handle,Timestamp,Text,Comments,Likes,Retweets
Twinskillers T,@37baulking,2024-07-27T11:25:06.000Z,Lgbt? ,0,0,0
jaaaaalyn,@_samaaara,2024-07-27T11:24:14.000Z,Nggak kayak pembukaan olimpiade malah kayak freak show  dimana ada lgbt disitu selalu rusak,0,0,0
hermawan AH,@mamassbest77,2024-07-27T11:22:29.000Z,"Wkwkwk blok! Makanya LGBT itu bikin susah , asu!",0,0,0
mevia,@Jaskascha,2024-07-27T11:21:44.000Z,"Ini kan yang mereka pengenin, kampanye lgbt, ham. Taunya kelakuan menjijikkan menghina agama berbalut sensualitas. Kalo olimpiade paling ga semangatnya, vibesnya olah raga, budaya &ciri khas dari negara tuan rumahnya.",0,0,0
rznjG,@rznj_g,2024-07-27T11:21:08.000Z,Lgbt,0,0,0
jaeyun,@jaeyunn02,2024-07-27T11:20:20.000Z,Malah pameran lgbt,0,0,0
IMAM AL HUDA,@imamalhuda37,2024-07-27T11:18:56.000Z,Opening ceremony OG malah kayak parade lgbt,0,0,0
MANCHESTER IS RED,@RubbishManUtd,2024-07-27T11:17:28.000Z,Lama2 jijik juga ini agenda LGBT dibawa2 terus ke semua event Olahraga. Bikin rusak Mata dan eventnya sendiri,0,0,0
galani,@nadiagalanie,2024-07-27T11:17:19.000Z,Kek pesta LGBT ,0,0,0
Kevin™music,@MilesDavis_King,2024-07-27T11:17:12.000Z,ＬＧＢＴ？,0,0,0
icha,@icxha9_x,2024-07-27T11:16:11.000Z,Dh kenapa mcm geng lgbt je smua. Apa theme dorang? ,0,0,0
ta,@prince8taa,2024-07-27T11:07:28.000Z,udah jelas bgt kaaan kalo gerakan LGBT dari Barat sana udah gak percaya bahkan melecehkan ajaran Agama!!,0,0,0
w,@spitfireastx,2024-07-27T11:07:07.000Z,"Gue yg bukan org kristen aja kesel bgt liatnya, ajang olimpiade yg kesanya manly dan sporty jadi rusak gara gara diadain di Paris pake ada unsur2 lgbt.",0,0,0
Oğuz Han,@OZASUICIDE,2024-07-27T11:06:26.000Z,"Lgbt propagandasi yok 2 dakka gorunduler, olan sizin lgbt dusmanliginiz, konformistliginiz.",0,0,0
Erdoğan,@gunterberlin73,2024-07-27T11:05:08.000Z,LGBT,0,0,0
Ömer,@omerbass61,2024-07-27T11:04:19.000Z,LGBT,0,0,0
MnizarAl,@ghifa121610,2024-07-27T11:03:50.000Z,pawai LGBT itu mah hahah,0,0,0
Danny Phantom,@danny_fauzan,2024-07-27T11:02:13.000Z,"Ini bukan opening ceremony olimpiade, tapi parade LGBT dibungkus ke opening ceremony ",0,0,0
Unwanted_503,@Unwanted_503,2024-07-27T11:01:29.000Z,"Kebabian apakah yg 
@france
 nak tonjolkan di 
@Olympics
 ? Nak promosikan LGBT?

Boikot Olylimpc",0,0,0
Ardan,@teko_ajaiib,2024-07-27T11:00:42.000Z,Kok kesannya jadi kayak Festival LGBT Pride ya kang,0,0,0
Coco Ichibanya Enthusiast,@yuusha01_a,2024-07-27T10:59:40.000Z,"Noo, it is more like di olimpiade-olimpiade sebelumnya ada jurnalis atau akun yg sengaja nge-outing para atlet yg akun grindr-nya masih aktif. 

Kan jadi bahaya kalo mereka berasal dr negara yg anti-LGBT :((",0,0,0
Ahmetfarukornak,@Ahmetfarukorna1,2024-07-27T10:59:32.000Z,Taki lgbt li oluncaya kadar,0,0,0
Majimachafu,@majimachafu,2024-07-27T10:59:23.000Z,"We jamaa ndio maana wanakuhisi we Ni LGBT, sometimes hunaga point kabisa",0,0,0
hoho,@Hoho1990820611,2024-07-27T10:57:48.000Z,Ideologi LGBT terlebih trans movement di barat itu lagi kenceng2nya disuarakan. Dan dibantu sama pemerintah sana. Makanya gak heran yang kayak gini sampe dipromosikan di event sekelas Olympic. Hati2 aja soalnya itu jadi cerminan buat kita juga.,0,0,0
Virgi,@VirgiawanWidy,2024-07-27T10:51:24.000Z,"Propaganda udah tersebar dimana2 dan terang2an ditayangkan diacara besar dengan jangkauan seluruh dunia. Tetap waspada dalam memilah milih tontonan dan jauhi propaganda yang melenceng. Tujuan mereka ingin membuat LGBT, satanik, feminisme, obesitas, jadi hal yang lumrah.",0,0,0
Lae,@heysalamkenal,2024-07-27T10:50:13.000Z,"Walau LGBT kalau haknya dia sebagai manusia gue fine aja, tapi kalo si LGBT di kasih panggung buat nyerang Kristus dengan parodi kalian sampah.",0,0,0
riel - cluster 48,@takenpotatoo,2024-07-27T10:49:42.000Z,"No hate for lgbt, poinnya lebih ke panitia bsa milih banyak referensi tp knp hrus itu.",0,0,0
sooyimyim,@sooyimyim,2024-07-27T10:48:57.000Z,"Udah makin gila nih orang2. Dulu kan cm LGBT ya, trus jd LGBTQ, aku br tau ternyata skrg tuh LGBTQIA+ (Lesbian, Gay, Biseksual, Transgender, Questioning, Intersex, Asexual, and others). Kayaknya bentar lg pedo termasuk nih",0,0,0
edward malborski,@EMalborski45,2024-07-27T10:45:42.000Z,LGBT + Islam !,0,0,0
Cik Kas,@KSuwardy,2024-07-27T10:45:28.000Z,France nie xde budaya sdiri ke sampai budaya lgbt yg di angkat.,0,0,0
나이,@Jnjmyay,2024-07-27T10:44:54.000Z,Oalahh aku yg kudet ternyata emng udah dari lama duolingo dukung LGBT,0,0,0
hmmmm,@saranghaetnx,2024-07-27T10:44:10.000Z,"Berhijab tak boleh, tapi jadi lgbt boleh lak",0,0,0
Aisya,@Aisyana_dia,2024-07-27T10:42:58.000Z,Konyol bgt Prancis bikin opening ceremony yg menjijikan begini dan aneh org2 kristiani PD diem aja  thdp pelecehan agama mereka. Lama2 Jd di normalisasi kebebasan dimana2 termasuk penistaan agama apapun dan LGBT,0,0,0
nanda1448,@m_wirananda,2024-07-27T10:38:34.000Z,"Agenda LGBT satanic ni ngeri ,menjadi jadi 
Tunggu nanti kalian imam mahdi kami datang habis kalian",0,0,0
𝙰𝙵𝙸𝙵,@apeep__,2024-07-27T10:38:15.000Z,"Prancis emang paling gencar menyuarakan dan promosi LGBT, kayak semua hal diselipkan kampanye LGBT. Bahkan di sepakbola, yg menolak kampanye LGBT akan kena hukuman, terlalu memaksa. Dalih menyuarakan ""kebebasan"" tapi merenggut kebebasan org lain untuk beropini, kan aneh.",0,0,0
