Text,Case_Folding,Cleaning_Text,Normalisasi_Text,Formalisasi_Text,Remove_Text,Stemming_Text,Tokenize_Text,Processed_Text,Polarity Score,Labels
"Tapi cewe cewe lesbi yang pernah aku temui kenapa orangnya nyebelin semua ya... Mulutnya jahat jahat .. problematik gitu, tp yg cowo kek besti cewe..","tapi cewe cewe lesbi yang pernah aku temui kenapa orangnya nyebelin semua ya... mulutnya jahat jahat .. problematik gitu, tp yg cowo kek besti cewe..",tapi cewe cewe lesbi yang pernah aku temui kenapa orangnya nyebelin semua ya mulutnya jahat jahat problematik gitu tp yg cowo kek besti cewe,tapi cewek  cewek  lesbi yang pernah saya temui kenapa orangnya menyebalkan  semua ya mulutnya jahat jahat problematik begitu  tapi yang  cowok  kek besti cewek ,tapi cewek cewek lesbi yang pernah saya temui kenapa orangnya menyebalkan semua ya mulutnya jahat jahat problematik begitu tapi yang cowok seperti; besti cewek,cewek cewek lesbi temui orangnya menyebalkan ya mulutnya jahat jahat problematik cowok seperti; besti cewek,cewek cewek lesbi temu orang sebal ya mulut jahat jahat problematik cowok seperti besti cewek,"['cewek', 'cewek', 'lesbi', 'temu', 'orang', 'sebal', 'ya', 'mulut', 'jahat', 'jahat', 'problematik', 'cowok', 'seperti', 'besti', 'cewek']",cewek cewek lesbi temu orang sebal ya mulut jahat jahat problematik cowok seperti besti cewek,-4,Negative
"Himejoshi = org2 yg suka sm hal yg berbau yuri, gl, shojou ai WAAAAH cewek lesbi?????? 
Jesse = nama Sy.
KLIMIS = emg knp Kalo Rmbut gw klimis????
Pookie = imud + maxxing sy akan mnjd pemuda imud maxxximal
de Kofflinqué adlh marga jefunk ternama","himejoshi = org2 yg suka sm hal yg berbau yuri, gl, shojou ai waaaah cewek lesbi?????? 
jesse = nama sy.
klimis = emg knp kalo rmbut gw klimis????
pookie = imud + maxxing sy akan mnjd pemuda imud maxxximal
de kofflinqué adlh marga jefunk ternama",himejoshi org yg suka sm hal yg berbau yuri gl shojou ai waaaah cewek lesbi jesse nama syklimis emg knp kalo rmbut gw klimispookie imud maxxing sy akan mnjd pemuda imud maxxximalde kofflinqu adlh marga jefunk ternama,himejoshi orang yang  suka sama  hal yang  berbau yuri gl shojou ai waaaah cewek lesbi jesse nama syklimis memang kenapa kalau  rmbut saya klimispookie imud maxxing saya  akan mnjd pemuda imud maxxximalde kofflinqu adalah  marga jefunk ternama,himejoshi orang yang suka sama hal yang berbau yuri gl shojou ai waaaah cewek lesbi jesse nama syklimis memang kenapa kalau rmbut saya klimispookie imud maxxing saya akan mnjd pemuda imud maxxximalde kofflinqu adalah marga jefunk ternama,himejoshi orang suka berbau yuri gl shojou ai waaaah cewek lesbi jesse nama syklimis rmbut klimispookie imud maxxing mnjd pemuda imud maxxximalde kofflinqu marga jefunk ternama,himejoshi orang suka bau yuri gl shojou ai waaaah cewek lesbi jesse nama syklimis rmbut klimispookie imud maxxing mnjd pemuda imud maxxximalde kofflinqu marga jefunk nama,"['himejoshi', 'orang', 'suka', 'bau', 'yuri', 'gl', 'shojou', 'ai', 'waaaah', 'cewek', 'lesbi', 'jesse', 'nama', 'syklimis', 'rmbut', 'klimispookie', 'imud', 'maxxing', 'mnjd', 'pemuda', 'imud', 'maxxximalde', 'kofflinqu', 'marga', 'jefunk', 'nama']",himejoshi orang suka bau yuri gl shojou ai waaaah cewek lesbi jesse nama syklimis rmbut klimispookie imud maxxing mnjd pemuda imud maxxximalde kofflinqu marga jefunk nama,1,Positive
"@estechmanies
 mas ada baiknya mau gsh dikasih tau ws tanda” mw lesbi ini maasss","@estechmanies
 mas ada baiknya mau gsh dikasih tau ws tanda” mw lesbi ini maasss",mas ada baiknya mau gsh dikasih tau ws tanda mw lesbi ini maasss,mas ada baiknya mau gsh dikasih tahu ws tanda mau lesbi ini maasss,mas ada baiknya mau gsh dikasih tahu ws tanda mau lesbi ini maasss,baiknya gsh dikasih tanda lesbi maasss,baik gsh kasih tanda lesbi maasss,"['baik', 'gsh', 'kasih', 'tanda', 'lesbi', 'maasss']",baik gsh kasih tanda lesbi maasss,3,Positive
"lu kira gue lesbi juga apa,,,","lu kira gue lesbi juga apa,,,",lu kira gue lesbi juga apa,kamu kira saya lesbi juga apa,kamu kira saya lesbi juga apa,lesbi,lesbi,['lesbi'],lesbi,0,Neutral
ANJNG KALO LESBI AJA MINTA SARAN KE GUE,anjng kalo lesbi aja minta saran ke gue,anjng kalo lesbi aja minta saran ke gue,anjng kalau  lesbi saja  minta saran ke saya,anjng kalau lesbi saja minta saran ke saya,anjng lesbi saran,anjng lesbi saran,"['anjng', 'lesbi', 'saran']",anjng lesbi saran,2,Positive
Itu lesbi bgt jir padahal ,itu lesbi bgt jir padahal,itu lesbi bgt jir padahal,itu lesbi sangat  jir padahal,itu lesbi sangat jir padahal,lesbi jir,lesbi jir,"['lesbi', 'jir']",lesbi jir,-3,Negative
"Yauda terusin lesbi sana, penyepong kapal delshel","yauda terusin lesbi sana, penyepong kapal delshel",yauda terusin lesbi sana penyepong kapal delshel,yauda terusin lesbi sana penyepong kapal delshel,yauda terusin lesbi sana penyepong kapal delshel,yauda terusin lesbi penyepong kapal delshel,yauda terusin lesbi penyepong kapal delshel,"['yauda', 'terusin', 'lesbi', 'penyepong', 'kapal', 'delshel']",yauda terusin lesbi penyepong kapal delshel,-7,Negative
Gpp alhamdulillah emang gak boleh lesbi,gpp alhamdulillah emang gak boleh lesbi,gpp alhamdulillah emang gak boleh lesbi,tidak apa apa alhamdulillah memang  tidak boleh lesbi,tidak apa apa alhamdulillah memang tidak boleh lesbi,alhamdulillah lesbi,alhamdulillah lesbi,"['alhamdulillah', 'lesbi']",alhamdulillah lesbi,5,Positive
"Masalah beginian aja jadi panjang. 
Mau mereka punya cowok, lesbi dll ya bodo amat tinggal jadi fans yg nganggep mereka itu penghibur doang aja kan beres. Dateng ke acara & event niatnya kumpul"" Bareng temen sambil nikmatin lagu"" Yg di bawain. Lagian soal yg abisin duit ke","masalah beginian aja jadi panjang. 
mau mereka punya cowok, lesbi dll ya bodo amat tinggal jadi fans yg nganggep mereka itu penghibur doang aja kan beres. dateng ke acara & event niatnya kumpul"" bareng temen sambil nikmatin lagu"" yg di bawain. lagian soal yg abisin duit ke",masalah beginian aja jadi panjang mau mereka punya cowok lesbi dll ya bodo amat tinggal jadi fans yg nganggep mereka itu penghibur doang aja kan beres dateng ke acara event niatnya kumpul bareng temen sambil nikmatin lagu yg di bawain lagian soal yg abisin duit ke,masalah beginian saja  jadi panjang mau mereka punya cowok lesbi dan lain ya bodo amat tinggal jadi fans yang  nganggep mereka itu penghibur saja  saja  kan beres datang  ke acara event niatnya kumpul bareng teman  sambil nikmatin lagu yang  di bawain lagi  soal yang  abisin duit ke,masalah beginian saja jadi panjang mau mereka punya cowok lesbi dan lain ya bodo amat tinggal jadi fans yang nganggep mereka itu penghibur saja saja kan beres datang ke acara event niatnya kumpul bareng teman sambil nikmatin lagu yang di bawain lagi soal yang abisin duit ke,cowok lesbi ya bodo tinggal fans nganggep penghibur beres acara event niatnya kumpul bareng teman nikmatin lagu bawain abisin duit,cowok lesbi ya bodo tinggal fans nganggep hibur beres acara event niat kumpul bareng teman nikmatin lagu bawain abisin duit,"['cowok', 'lesbi', 'ya', 'bodo', 'tinggal', 'fans', 'nganggep', 'hibur', 'beres', 'acara', 'event', 'niat', 'kumpul', 'bareng', 'teman', 'nikmatin', 'lagu', 'bawain', 'abisin', 'duit']",cowok lesbi ya bodo tinggal fans nganggep hibur beres acara event niat kumpul bareng teman nikmatin lagu bawain abisin duit,4,Positive
Ekhm ekhm mau lesbi sama aku?,ekhm ekhm mau lesbi sama aku?,ekhm ekhm mau lesbi sama aku,ekhm ekhm mau lesbi sama saya,ekhm ekhm mau lesbi sama saya,ekhm ekhm lesbi,ekhm ekhm lesbi,"['ekhm', 'ekhm', 'lesbi']",ekhm ekhm lesbi,0,Neutral
